Format Version,1.23,Take Name,Take 2024-01-10 11.43.30 AM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-01-10 11.43.30.991 ,Total Frames in Take,5832,Total Exported Frames,5832,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody 001,RigidBody 001,RigidBody 001,RigidBody 001,RigidBody 001,RigidBody 001,RigidBody 001
,ID,"3D2A2A1EAFA411EE7FE6B7EAD028689D","3D2A2A1EAFA411EE7FE6B7EAD028689D","3D2A2A1EAFA411EE7FE6B7EAD028689D","3D2A2A1EAFA411EE7FE6B7EAD028689D","3D2A2A1EAFA411EE7FE6B7EAD028689D","3D2A2A1EAFA411EE7FE6B7EAD028689D","3D2A2A1EAFA411EE7FE6B7EAD028689D"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.001213,-0.004492,-0.007729,0.999959,37.500759,688.008301,170.962128
1,0.010000,0.001274,-0.004425,-0.007760,0.999959,37.499657,688.012207,170.968750
2,0.020000,0.001245,-0.004221,-0.007472,0.999962,37.496540,688.006958,170.980774
3,0.030000,0.002118,-0.003846,-0.007949,0.999959,37.447525,688.094238,170.893234
4,0.040000,0.002177,-0.003918,-0.007826,0.999959,37.449493,688.099304,170.900940
5,0.050000,0.001074,-0.004624,-0.007736,0.999959,37.492050,688.031982,170.940521
6,0.060000,0.001465,-0.004325,-0.007626,0.999960,37.500660,688.012695,170.981339
7,0.070000,0.001097,-0.004683,-0.007767,0.999958,37.496071,688.017273,170.944229
8,0.080000,,,,,,,
9,0.090000,-0.002214,0.003670,0.007859,-0.999960,37.438889,688.084290,170.914383
10,0.100000,-0.002250,0.003961,0.007849,-0.999959,37.453869,688.095215,170.916534
11,0.110000,-0.001257,0.004632,0.007670,-0.999959,37.495251,688.012695,170.957367
12,0.120000,-0.001190,0.004570,0.007636,-0.999960,37.500603,688.013428,170.958557
13,0.130000,-0.001105,0.004514,0.007607,-0.999960,37.494667,688.018127,170.963348
14,0.140000,-0.001195,0.004176,0.007345,-0.999964,37.480499,688.005005,170.969833
15,0.150000,-0.001243,0.004542,0.007690,-0.999959,37.495255,688.007813,170.962296
16,0.160000,-0.001206,0.004353,0.007454,-0.999962,37.488274,688.001160,170.974197
